Departamento,año,Denuncias,Divorcios,Sexo_hombre,Sexo_mujer, 0  a  4, 5  a  9,10 a 14,15 a 19,20 a 24,25 a 29,30 a 34,35 a 39,40 a 44,45 a 49,50 a 54,55 a 59,60 a 64,65 y más,Ignorado_edad
Jalapa,2020,357,91,47,310,0,1,2,24,62,66,59,45,31,20,13,10,7,13,4
Jalapa,2021,387,243,52,335,0,1,2,22,63,70,63,50,37,23,16,10,9,15,8
Jalapa,2022,456,238,67,389,0,1,3,23,70,81,74,58,44,29,20,13,10,20,11
Jutiapa,2008,556,119,54,502,0,1,3,38,76,82,68,48,33,21,14,8,5,8,6
Jutiapa,2009,713,128,68,645,1,1,5,59,127,132,110,81,53,36,22,13,9,16,7
Jutiapa,2010,803,168,72,731,1,1,5,66,133,138,121,85,56,37,22,14,9,17,7
Jutiapa,2011,"1,006",208,87,919,1,1,6,85,173,174,156,115,72,49,31,19,13,23,12
Jutiapa,2012,"1,192",269,98,"1,094",1,3,8,117,237,237,211,153,97,62,41,24,17,30,16
Jutiapa,2013,"1,203",340,108,"1,095",1,2,9,114,226,227,201,143,97,60,41,24,17,28,14
Jutiapa,2014,"1,353",344,127,"1,226",2,3,12,131,247,251,223,164,108,68,44,29,21,35,15
Jutiapa,2015,862,284,87,775,1,2,7,78,162,161,139,108,68,42,28,19,13,25,8
Jutiapa,2016,"1,059",235,112,947,1,3,8,92,194,200,171,130,85,52,35,24,17,30,16
Jutiapa,2017,"1,139",180,138,"1,001",2,3,9,89,213,214,176,145,93,63,38,26,19,35,15
Jutiapa,2018,"1,294",251,161,"1,133",2,3,8,99,243,238,204,162,110,65,46,33,23,44,14
Jutiapa,2019,"1,161",234,156,"1,005",1,3,7,83,208,216,183,147,104,62,41,28,22,43,14
Jutiapa,2020,"1,327",154,175,"1,152",2,3,8,89,232,245,218,167,116,75,49,36,25,47,15
Jutiapa,2021,"1,550",371,210,"1,340",1,3,8,87,252,281,250,199,149,92,62,40,34,60,30
Jutiapa,2022,"1,245",402,183,"1,062",1,2,7,63,191,221,201,159,120,80,54,36,27,53,30
Ignorado_departamento,2008,9,0,1,8,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
Ignorado_departamento,2009,91,0,9,82,0,0,1,7,16,17,14,10,7,5,3,2,1,2,1
Ignorado_departamento,2010,246,0,22,224,0,0,2,20,41,42,37,26,17,11,7,4,3,5,2
Ignorado_departamento,2011,264,0,23,241,0,0,2,22,45,46,41,30,19,13,8,5,3,6,3
Ignorado_departamento,2012,178,0,15,163,0,0,1,17,35,35,32,23,14,9,6,4,2,5,2
Ignorado_departamento,2013,279,0,25,254,0,0,2,26,52,53,47,33,22,14,10,6,4,7,3
Ignorado_departamento,2014,97,0,9,88,0,0,1,9,18,18,16,12,8,5,3,2,2,3,1
Ignorado_departamento,2015,43,0,4,39,0,0,0,4,8,8,7,5,3,2,1,1,1,1,0
Ignorado_departamento,2016,66,0,7,59,0,0,1,6,12,12,11,8,5,3,2,2,1,2,1
Ignorado_departamento,2017,43,0,5,38,0,0,0,3,8,8,7,5,4,2,1,1,1,1,1
Ignorado_departamento,2018,32,0,4,28,0,0,0,2,6,6,5,4,3,2,1,1,1,1,0
Ignorado_departamento,2019,34,0,5,29,0,0,0,2,6,6,5,4,3,2,1,1,1,1,0
Ignorado_departamento,2020,39,0,5,34,0,0,0,3,7,7,6,5,3,2,1,1,1,1,0
Ignorado_departamento,2021,84,0,11,73,0,0,0,5,14,15,14,11,8,5,3,2,2,3,2
Ignorado_departamento,2022,549,0,81,468,1,1,3,28,84,98,89,70,53,35,24,16,12,24,13
Republica,2008,"23,721","2,834","2,290","21,431",16,43,132,"1,638","3,226","3,487","2,917","2,065","1,426",886,589,339,212,360,239
Republica,2009,"31,497","3,004","2,985","28,512",27,40,208,"2,585","5,602","5,823","4,848","3,590","2,325","1,582",977,584,396,712,328
Republica,2010,"32,017","3,645","2,858","29,159",32,48,199,"2,642","5,297","5,486","4,825","3,393","2,224","1,475",888,543,375,670,294
Republica,2011,"33,484","4,344","2,906","30,578",35,44,206,"2,842","5,752","5,796","5,183","3,815","2,407","1,637","1,034",624,437,779,405
Republica,2012,"36,107","5,157","2,967","33,140",22,82,255,"3,548","7,178","7,176","6,396","4,630","2,940","1,866","1,233",738,507,922,484
Republica,2013,"36,170","5,542","3,252","32,918",26,50,280,"3,420","6,780","6,816","6,056","4,287","2,913","1,789","1,241",727,509,848,428
Republica,2014,"34,330","5,575","3,233","31,097",57,86,304,"3,316","6,275","6,367","5,648","4,166","2,747","1,721","1,114",725,538,889,377
Republica,2015,"31,929","5,726","3,221","28,708",44,85,275,"2,895","5,998","5,972","5,162","3,985","2,505","1,539","1,046",713,496,915,299
Republica,2016,"31,190","5,665","3,295","27,895",41,76,240,"2,717","5,716","5,887","5,048","3,821","2,503","1,543","1,039",715,497,885,462
Republica,2017,"30,384","5,808","3,675","26,709",49,83,245,"2,369","5,677","5,714","4,687","3,873","2,490","1,676","1,008",681,500,943,389
Republica,2018,"29,992","6,255","3,738","26,254",35,79,183,"2,286","5,623","5,517","4,727","3,762","2,550","1,518","1,068",772,527,"1,020",325
Republica,2019,"31,898","8,203","4,289","27,609",36,71,185,"2,281","5,720","5,944","5,029","4,030","2,847","1,707","1,119",759,610,"1,168",392
Republica,2020,"28,259","4,074","3,728","24,531",32,66,161,"1,899","4,933","5,220","4,649","3,550","2,460","1,600","1,050",777,542,"1,005",315
Republica,2021,"36,435","9,621","4,942","31,493",25,76,187,"2,045","5,935","6,608","5,887","4,684","3,503","2,152","1,460",950,803,"1,412",708
Republica,2022,"37,194","9,950","5,456","31,738",40,62,211,"1,897","5,694","6,609","6,002","4,760","3,577","2,383","1,600","1,078",792,"1,598",891
